"xSectMax","vimpelId","xSectAvg","name","diameter","depth","mass","span","cosparId","satno","height","width","xSectMin","shape","objectClass"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100","7","2022-029BF","52141.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100","7","2022-029BG","52142.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"1.55026",,"0.899667","KL-Beta-A",NULL,"0.5","100","3","2021-070A","49059.0","1","0.5","0.25","Box + 1 Pan","Payload"
"45.3806",,"39.98","Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2)","3.66",NULL,"4300","15.95","2021-049B","48839.0","15.53",NULL,"10.5052","Cyl","Rocket Body"
"1.48561",,"1.38129","ORION 38 (Pegasus XL)","0.965",NULL,"202","1.34","2021-051B","48845.0","1.34",NULL,"0.731382","Cyl + 1 Nozzle","Rocket Body"
"1.55026",,"0.899667","KL-Beta-B",NULL,"0.5","100","3","2021-070B","49060.0","1","0.5","0.25","Box + 1 Pan","Payload"
"9.83917",,"9.05662","PBV (Long March (CZ) 6)","2.25",NULL,"1000","4","2021-070C","49061.0","4",NULL,"3.97608","Cyl","Rocket Body"
"34.8742",,"24.0371","Cosmos-2550","2.7",NULL,"7231","8.5","2021-056A","48865.0","8",NULL,"5.72555","Cyl + 2 Pan","Payload"
"20.0068",,"17.9189","Blok-I (Soyuz-2-1B)","2.7",NULL,"2710","7.1","2021-056B","48866.0","7.1",NULL,"5.72555","Cyl","Rocket Body"
"73.7507",,"34.0633","Chinasat 2E",NULL,"2.5","5000","30","2021-071A","49062.0","5","2.5","6.25","Box + 2 Pan","Payload"
"39.1337",,"33.7643","H-18 (Long March (CZ) YF) (Long March (CZ) 3B)","3",NULL,"2800","3","2021-071B","49063.0","12.83",NULL,"7.06858","Cyl + 1 Nozzle","Rocket Body"
"24.5506",,"21.5601","Blok-I (Soyuz-2-1A)","2.66",NULL,"2350","8.99","2021-057B","48870.0","8.99",NULL,"5.55716","Cyl","Rocket Body"
"0.0938083",,"0.08","STORK 4",NULL,"0.2","5","0.3","2021-058C","48873.0","0.3","0.2","0.04","Box","Payload"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100","7","2022-029BH","52143.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.14",,"0.110113","Starlink operational debris (deployment rail)","0.02",NULL,"100","7","2022-029BJ","52144.0","7",NULL,"0.000314159","Cyl","Rocket Mission Related Object"
"0.043589",,"0.035","CNCE Blk 1B",NULL,"0.1","4","0.3","2021-058D","48874.0","0.3","0.1","0.01","Box","Payload"
